Taxa	Abundance	IDs
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Moraxellales; f__Moraxellaceae; g__Acinetobacter; s__Acinetobacter_baumannii	2	Mockrobiota_1,Mockrobiota_188
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__Bacillus_cereus	7	Mockrobiota_2,Mockrobiota_3,Mockrobiota_4,Mockrobiota_6,Mockrobiota_189,Mockrobiota_190,Mockrobiota_191
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Phocaeicola; s__Phocaeicola_vulgatus	14	Mockrobiota_7,Mockrobiota_9,Mockrobiota_10,Mockrobiota_12,Mockrobiota_65,Mockrobiota_67,Mockrobiota_68,Mockrobiota_193,Mockrobiota_194,Mockrobiota_195,Mockrobiota_197,Mockrobiota_198,Mockrobiota_260,Mockrobiota_272
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Clostridiaceae; g__Clostridium; s__Clostridium_beijerinckii	10	Mockrobiota_13,Mockrobiota_14,Mockrobiota_15,Mockrobiota_16,Mockrobiota_17,Mockrobiota_18,Mockrobiota_21,Mockrobiota_24,Mockrobiota_25,Mockrobiota_26
k__Bacteria; p__Deinococcus-Thermus; c__Deinococci; o__Deinococcales; f__Deinococcaceae; g__Deinococcus; s__Deinococcus_radiodurans	5	Mockrobiota_27,Mockrobiota_28,Mockrobiota_118,Mockrobiota_213,Mockrobiota_214
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus; s__Enterococcus_faecalis	4	Mockrobiota_29,Mockrobiota_30,Mockrobiota_129,Mockrobiota_216
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__Escherichia_coli	8	Mockrobiota_31,Mockrobiota_261,Mockrobiota_265,Mockrobiota_266,Mockrobiota_267,Mockrobiota_268,Mockrobiota_269,Mockrobiota_271
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__Lactobacillus_gasseri	2	Mockrobiota_33,Mockrobiota_224
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Propionibacteriales; f__Propionibacteriaceae; g__Cutibacterium; s__Cutibacterium_acnes	3	Mockrobiota_35,Mockrobiota_36,Mockrobiota_230
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__Pseudomonas_aeruginosa	3	Mockrobiota_37,Mockrobiota_39,Mockrobiota_232
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Cereibacter; s__Cereibacter_sphaeroides	4	Mockrobiota_40,Mockrobiota_41,Mockrobiota_235,Mockrobiota_236
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__Staphylococcus_aureus	6	Mockrobiota_42,Mockrobiota_44,Mockrobiota_45,Mockrobiota_237,Mockrobiota_238,Mockrobiota_239
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__Staphylococcus_epidermidis	7	Mockrobiota_46,Mockrobiota_47,Mockrobiota_48,Mockrobiota_240,Mockrobiota_241,Mockrobiota_242,Mockrobiota_243
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus_agalactiae	1	Mockrobiota_51
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus_mutans	3	Mockrobiota_53,Mockrobiota_246,Mockrobiota_247
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus_pneumoniae	2	Mockrobiota_54,Mockrobiota_248
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__Actinomyces_odontolyticus	1	Mockrobiota_55
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Listeriaceae; g__Listeria; s__Listeria_monocytogenes	5	Mockrobiota_56,Mockrobiota_57,Mockrobiota_58,Mockrobiota_59,Mockrobiota_228
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Parabacteroides; s__Parabacteroides_distasonis	2	Mockrobiota_62,Mockrobiota_69
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Barnesiellaceae; g__Barnesiella; s__Barnesiella_intestinihominis	1	Mockrobiota_63
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__; g__Howardella; s__Howardella_ureilytica	1	Mockrobiota_70
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__Prevotella_copri	2	Mockrobiota_72,Mockrobiota_73
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__[Ruminococcus]_gnavus_group; s__[Ruminococcus]_gnavus_group_gnavus	2	Mockrobiota_75,Mockrobiota_76
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Clostridiaceae; g__Clostridium_sensu_stricto_1; s__Clostridium_sensu_stricto_1_celatum	1	Mockrobiota_77
