# Constructed from biom file
#OTU ID	mockrobiota00S01	mockrobiota01S01	mockrobiota02S01	mockrobiota03S01	mockrobiota04S01
318669d5d926e9b81ca6911da00a14ea	24.0	21.0	21.0	23.0	24.0
42997c1743f8b32daab0b9720a8e12f9	12.0	12.0	11.0	11.0	12.0
b6635d67cb594473ddba9f8cfba5d13d	14.0	11.0	0.0	13.0	13.0
ffc36e27c82042664a16bcd4d380b286	8.0	10.0	4.0	8.0	6.0
04be702b895fe5ed0568344daf564276	0.0	0.0	8.0	8.0	13.0
8cb24777cb48dde0aac60dfeca125d10	5.0	5.0	7.0	7.0	4.0
70d55baf78e9ac4d0babeac5dcbae5c2	0.0	9.0	11.0	8.0	0.0
892a20bbdc3ce599dc0c5d9f0866c352	5.0	6.0	6.0	4.0	5.0
b77b151f7481fd080bedbf415e736539	5.0	5.0	6.0	5.0	5.0
e4c0868fdefcdf2037ab5f7a071e4cc7	5.0	5.0	4.0	5.0	5.0
5497318e515a8c328a68f95975d9c7d4	9.0	13.0	0.0	0.0	0.0
51f7c8ee44363f94d016d6907b20aced	8.0	0.0	0.0	0.0	11.0
056129de3ff9eab079fac9ec56181a4a	4.0	4.0	4.0	3.0	4.0
b02a8d33d018119dedb2db15db887bfd	4.0	0.0	3.0	3.0	3.0
4d6fe682a4dd9aad8decfab830a193e0	4.0	3.0	3.0	3.0	0.0
052ba7abaeaa968c4f79e3f97d1f0a2f	5.0	3.0	0.0	4.0	0.0
332b70897316f7f62b81dfc53f41ca52	0.0	4.0	4.0	4.0	0.0
ef5af48ec2b6c023c5de28c59cb08a40	0.0	2.0	4.0	3.0	3.0
a1025733d4e546a69dd00764e3ed40c5	3.0	0.0	3.0	0.0	0.0
9970348d9735ef82d7ab94488fc960ff	0.0	2.0	2.0	0.0	2.0
9b23053de8f4269fe6b5ce286dfbef3c	0.0	0.0	2.0	0.0	2.0
e2da606c81ffb4bb96babae43354311d	0.0	0.0	2.0	0.0	2.0
5258515ff2816e94d24b2bd02f8ae803	0.0	0.0	2.0	0.0	2.0
c287da853235f9a98089163fdca87226	0.0	0.0	0.0	4.0	0.0
1acd42ad3b7cec50db7b0ec6c91c2ab5	0.0	0.0	0.0	2.0	2.0
313413ca8ca3a31e5f735a40eacfbcaf	0.0	0.0	0.0	0.0	4.0
0fe36700652ec52d1b67c68e1c55faba	0.0	0.0	0.0	0.0	3.0
dfa833b266bd2993b86feab3617b34c3	2.0	0.0	0.0	0.0	0.0
c3a3a503752209bc052b3995236b079f	0.0	2.0	0.0	0.0	0.0
39ad3267db6e7e83e902b055e87c8b31	0.0	2.0	0.0	0.0	0.0
e8de9432f2ada1078a2fda56ba92675a	0.0	0.0	2.0	0.0	0.0
