ID	vagimock00	vagimock01	vagimock02	vagimock03	vagimock04
1033552	693.0	605.0	496.0	313.0	177.0
HE573916.1.1560	660.0	585.0	482.0	286.0	165.0
130864	669.0	580.0	488.0	306.0	173.0
254797	696.0	609.0	511.0	282.0	155.0
133599	632.0	561.0	458.0	269.0	159.0
137340	637.0	555.0	460.0	277.0	156.0
236308	657.0	579.0	477.0	274.0	144.0
134019	645.0	548.0	473.0	293.0	162.0
Y16329	635.0	550.0	469.0	280.0	159.0
956654	668.0	581.0	484.0	298.0	157.0
955213	676.0	614.0	514.0	288.0	166.0
133075	652.0	571.0	491.0	297.0	163.0
129798	700.0	634.0	538.0	311.0	158.0
235591	666.0	579.0	468.0	291.0	156.0
AB976555.1.1487	16.0	27.0	35.0	19.0	11.0
AB976551.1.1505	18.0	31.0	28.0	22.0	3.0
LC061613.1.1544	20.0	39.0	32.0	28.0	3.0
KX570900.1.1529	22.0	45.0	32.0	23.0	11.0
JQ805637.1.1609	25.0	38.0	33.0	18.0	4.0
AB976550.1.1518	26.0	49.0	27.0	30.0	12.0
AB008209.1.1566	22.0	34.0	31.0	24.0	9.0
AF519171	22.0	48.0	28.0	26.0	7.0
AF243173.1.1518	24.0	42.0	27.0	26.0	7.0
KF738665.1.1553	18.0	43.0	28.0	22.0	7.0
AB976554.1.1526	18.0	32.0	23.0	27.0	6.0
MH111675.1.1448	19.0	41.0	22.0	12.0	8.0
AB976553.1.1512	19.0	35.0	35.0	24.0	6.0
Y17195	40.0	14.0	31.0	18.0	37.0
HM007563	54.0	17.0	29.0	22.0	27.0
851594	45.0	11.0	25.0	38.0	32.0
CP029984.1189920.1191419	25.0	72.0	142.0	127.0	103.0
LSRC01000036.25725.27238	20.0	65.0	158.0	110.0	108.0
M58744	15.0	58.0	145.0	120.0	99.0
JQ354969.1.1365	23.0	72.0	180.0	110.0	101.0
NR_118377	25.0	81.0	169.0	97.0	129.0
CP001849.1589621.1591094	22.0	69.0	164.0	125.0	111.0
AJVZ01000011.66937.68447	13.0	3.0	3.0	1.0	5.0
