Taxon	mockrobiota00	mockrobiota01	mockrobiota02	mockrobiota03	mockrobiota04
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Phocaeicola; s__Phocaeicola_vulgatus	0.0	0.02702702702702703	0.2028985507246377	0.022222222222222223	0.3595505617977528
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Shewanellaceae; g__Shewanella; s__Shewanella_baltica	0.0	0.21621621621621623	0.11594202898550725	0.26666666666666666	0.0449438202247191
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Clostridiaceae; g__Clostridium; s__Clostridium_beijerinckii	0.09876543209876543	0.10810810810810811	0.08695652173913043	0.0	0.1348314606741573
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Clostridiaceae; g__Clostridium_sensu_stricto_1; s__Clostridium_sensu_stricto_1_beijerinckii	0.024691358024691357	0.21621621621621623	0.0	0.08888888888888889	0.1348314606741573
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__Staphylococcus_epidermidis	0.2222222222222222	0.0	0.028985507246376812	0.15555555555555556	0.0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__Escherichia_coli	0.2222222222222222	0.13513513513513514	0.057971014492753624	0.17777777777777778	0.15730337078651685
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__Bacillus_cereus	0.07407407407407407	0.1891891891891892	0.028985507246376812	0.1111111111111111	0.0898876404494382
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Listeriaceae; g__Listeria; s__Listeria_monocytogenes	0.14814814814814814	0.05405405405405406	0.08695652173913043	0.13333333333333333	0.0898876404494382
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__Staphylococcus_aureus	0.09876543209876543	0.10810810810810811	0.11594202898550725	0.13333333333333333	0.06741573033707865
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Pectobacteriaceae; g__Dickeya; s__Dickeya_dadantii	0.09876543209876543	0.05405405405405406	0.0	0.08888888888888889	0.02247191011235955
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus; s__Enterococcus_faecalis	0.09876543209876543	0.13513513513513514	0.08695652173913043	0.022222222222222223	0.0449438202247191
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_ovatus	0.04938271604938271	0.0	0.057971014492753624	0.06666666666666667	0.0449438202247191
k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; s__Fusobacterium_nucleatum	0.024691358024691357	0.0	0.08695652173913043	0.0	0.0449438202247191
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__Escherichia-Shigella_coli	0.024691358024691357	0.08108108108108109	0.11594202898550725	0.1111111111111111	0.06741573033707865
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__Pseudomonas_aeruginosa	0.09876543209876543	0.10810810810810811	0.08695652173913043	0.022222222222222223	0.0449438202247191
k__Bacteria; p__Deinococcus-Thermus; c__Deinococci; o__Deinococcales; f__Deinococcaceae; g__Deinococcus; s__Deinococcus_radiodurans	0.0	0.10810810810810811	0.057971014492753624	0.06666666666666667	0.0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_uniformis	0.0	0.0	0.028985507246376812	0.022222222222222223	0.02247191011235955
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus_mutans	0.024691358024691357	0.02702702702702703	0.0	0.0	0.02247191011235955
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Porphyromonas; s__Porphyromonas_gingivalis	0.0	0.02702702702702703	0.0	0.044444444444444446	0.0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Parabacteroides; s__Parabacteroides_merdae	0.04938271604938271	0.02702702702702703	0.08695652173913043	0.022222222222222223	0.02247191011235955
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Propionibacteriales; f__Propionibacteriaceae; g__Cutibacterium; s__Cutibacterium_acnes	0.07407407407407407	0.02702702702702703	0.028985507246376812	0.044444444444444446	0.06741573033707865
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Cereibacter; s__Cereibacter_sphaeroides	0.07407407407407407	0.02702702702702703	0.057971014492753624	0.044444444444444446	0.02247191011235955
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__Prevotella_copri	0.0	0.0	0.057971014492753624	0.0	0.02247191011235955
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_cellulosilyticus	0.024691358024691357	0.0	0.028985507246376812	0.044444444444444446	0.0449438202247191
k__Bacteria; p__Chloroflexi; c__Chloroflexia; o__Herpetosiphonales; f__Herpetosiphonaceae; g__Herpetosiphon; s__Herpetosiphon_aurantiacus	0.024691358024691357	0.0	0.057971014492753624	0.022222222222222223	0.02247191011235955
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_thetaiotaomicron	0.04938271604938271	0.02702702702702703	0.0	0.0	0.0449438202247191
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__Desulfovibrio_piger	0.024691358024691357	0.05405405405405406	0.057971014492753624	0.044444444444444446	0.0449438202247191
k__Bacteria; p__Chlorobi; c__Chlorobia; o__Chlorobiales; f__Chlorobiaceae; g__Pelodictyon; s__Pelodictyon_phaeoclathratiforme	0.0	0.05405405405405406	0.0	0.022222222222222223	0.0449438202247191
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Coprococcus; s__Coprococcus_comes	0.024691358024691357	0.0	0.028985507246376812	0.022222222222222223	0.0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Barnesiellaceae; g__Barnesiella; s__Barnesiella_intestinihominis	0.024691358024691357	0.0	0.0	0.022222222222222223	0.0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__Lactobacillus_gasseri	0.0	0.0	0.028985507246376812	0.0	0.0
k__Bacteria; p__Spirochaetes; c__Spirochaetia; o__Spirochaetales; f__Treponemataceae; g__Treponema; s__Treponema_bryantii	0.0	0.02702702702702703	0.028985507246376812	0.0	0.02247191011235955
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Nitrosomonadales; f__Nitrosomonadaceae; g__Nitrosomonas; s__Nitrosomonas_europaea	0.0	0.0	0.0	0.022222222222222223	0.02247191011235955
k__Bacteria; p__Chloroflexi; c__Chloroflexia; o__Chloroflexales; f__Chloroflexaceae; g__Chloroflexus; s__Chloroflexus_aurantiacus	0.024691358024691357	0.02702702702702703	0.028985507246376812	0.0	0.02247191011235955
k__Bacteria; p__Aquificae; c__Aquificae; o__Aquificales; f__Hydrogenothermaceae; g__Sulfurihydrogenibium; s__Sulfurihydrogenibium_yellowstonense	0.024691358024691357	0.0	0.028985507246376812	0.022222222222222223	0.0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus_pneumoniae	0.0	0.0	0.028985507246376812	0.0	0.02247191011235955
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus_agalactiae	0.024691358024691357	0.02702702702702703	0.028985507246376812	0.0	0.02247191011235955
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Moraxellales; f__Moraxellaceae; g__Acinetobacter; s__Acinetobacter_baumannii	0.0	0.0	0.028985507246376812	0.0	0.02247191011235955
k__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__[Clostridium]_methylpentosum_group; g__[Clostridium]_methylpentosum_group; s__[Clostridium]_methylpentosum_group_methylpentosum	0.0	0.0	0.028985507246376812	0.0	0.02247191011235955
k__Archaea; p__Euryarchaeota; c__Methanococci; o__Methanococcales; f__Methanocaldococcaceae; g__Methanocaldococcus; s__Methanocaldococcus_jannaschii	0.024691358024691357	0.0	0.028985507246376812	0.0	0.0
k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Helicobacteraceae; g__Helicobacter; s__Helicobacter_pylori	0.024691358024691357	0.02702702702702703	0.0	0.022222222222222223	0.0
k__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobrevibacter; s__Methanobrevibacter_smithii	0.024691358024691357	0.0	0.0	0.022222222222222223	0.0
k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Akkermansiaceae; g__Akkermansia; s__Akkermansia_muciniphila	0.024691358024691357	0.0	0.0	0.0	0.02247191011235955
k__Bacteria; p__Thermotogae; c__Thermotogae; o__Thermotogales; f__Thermotogaceae; g__Thermotoga; s__Thermotoga_neapolitana	0.024691358024691357	0.0	0.028985507246376812	0.0	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Clostridiaceae; g__Clostridium_sensu_stricto_11; s__Clostridium_sensu_stricto_11_acetobutylicum	0.024691358024691357	0.0	0.028985507246376812	0.022222222222222223	0.02247191011235955
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Neisseria; s__Neisseria_meningitidis	0.0	0.02702702702702703	0.0	0.0	0.02247191011235955
k__Archaea; p__Euryarchaeota; c__Methanococci; o__Methanococcales; f__Methanococcaceae; g__Methanococcus; s__Methanococcus_maripaludis	0.024691358024691357	0.0	0.0	0.022222222222222223	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__[Ruminococcus]_gnavus_group; s__[Ruminococcus]_gnavus_group_gnavus	0.024691358024691357	0.02702702702702703	0.0	0.022222222222222223	0.0
k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__Gemmatimonas; s__Gemmatimonas_aurantiaca	0.024691358024691357	0.02702702702702703	0.028985507246376812	0.0	0.02247191011235955
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Parabacteroides; s__Parabacteroides_distasonis	0.024691358024691357	0.0	0.0	0.022222222222222223	0.0
k__Bacteria; p__Spirochaetes; c__Spirochaetia; o__Spirochaetales; f__Treponemataceae; g__Treponema; s__Treponema_denticola	0.0	0.0	0.0	0.0	0.02247191011235955
